month,matsumae01,matsumae02,matsumae03,matsumae04,matsumae05,matsumae06,matsumae07,matsumae08,matsumae09,matsumae10,matsumae11,matsumae12,matsumae13,matsumae14,matsumae15,matsumae16,matsumae17,matsumae18,matsumae19,matsumae20,matsumae21,matsumae22,matsumae23,matsumae24,matsumae25,matsumae26,matsumae27,matsumae28,matsumae31,合計_kg
2022-07,190.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,536.2,602.3,428.20000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.6,0.0,0.0,0.0,0.0,0.0,2433.2
2022-08,645.2,1507.3,1027.4,1083.5,856.9,729.1,350.8,714.4,978.8,673.5,688.5,715.6,722.2,1115.2,0.0,847.0,906.2,0.0,1497.8,540.7,344.0,723.4,0.0,1004.0,1122.9,0.0,1406.2,864.3,884.5,21949.400000000005
2022-09,672.1999999999999,237.5,639.7,573.1,719.2,915.4,1218.4,686.3,202.6,543.7,457.8,610.8,277.7,237.3,0.0,347.0,478.0,0.0,122.8,942.2,954.6,854.8,1253.7,443.4,637.8,1078.5,326.8,680.9,850.5,16962.699999999997
2022-10,100.6,0.0,56.1,29.5,111.7,0.0,116.2,247.2,29.3,0.0,0.0,0.0,73.0,72.4,55.3,285.9,205.1,0.0,38.6,26.8,148.9,152.3,0.0,27.6,0.0,0.0,0.0,27.6,0.0,1804.0999999999995
2022-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2
2022-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,103.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.8
2023-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
