month,matsumae02,matsumae04,matsumae05,matsumae06,matsumae07,matsumae08,matsumae09,matsumae10,matsumae11,matsumae12,matsumae13,matsumae14,matsumae15,matsumae16,matsumae17,matsumae18,matsumae19,matsumae20,matsumae21,matsumae22,matsumae23,matsumae24,matsumae25,matsumae26,matsumae27,matsumae28,matsumae31,合計_kg_per_l
2022-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.057
2023-01,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0
2023-02,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2023-03,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0
2023-04,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0
2023-05,0.0,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,,0.0,,,,,0.0
2023-06,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,,,,0.0,,0.0
2023-07,,,,1.477,0.055,,,1.53,,,,,1.102,,2.419,0.0,,1.188,0.0,,2.501,4.284,,,0.962,,1.276,3.045
2023-08,0.245,0.607,,,0.437,,,0.069,,0.383,0.357,0.144,1.788,,1.38,,0.623,0.0,,0.609,0.0,0.245,,0.0,,,1.683,0.913
2023-09,1.136,,0.607,0.922,1.177,0.318,0.546,,,1.727,1.703,1.336,,,1.269,,0.928,,,1.352,,2.808,1.197,,,3.316,0.292,1.511
2023-10,,,,,,,,0.0,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.236,0.0,0.039
2023-11,0.0,,,,,,,,,,,,0.0,,0.178,,,0.0,,,,0.0,0.0,,,,,0.035
2023-12,0.041,,,0.084,,,0.034,0.174,,0.488,0.082,0.153,,,,,0.0,,0.126,,,0.0,0.0,0.0,0.0,0.102,,0.147
2024-01,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,0.0,0.0,,,,0.0,0.0
2024-02,0.0,,0.0,,,,,,,,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0
2024-03,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
2024-04,,,,,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,,,,0.0,0.0,,0.0,,,,0.0,,0.0
2024-05,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0
2024-06,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,,,0.0
2024-07,,0.97,,4.832,,,,3.577,9.031,2.464,,,3.529,,2.267,9.489,2.396,1.296,,1.325,,4.616,,2.094,,,2.929,4.913
2024-08,0.0,0.157,,0.0,,,,0.707,,1.575,,1.512,1.875,,1.262,4.681,,0.0,,,0.0,,,,,0.0,0.082,1.484
2024-09,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.045
2024-10,0.0,0.075,0.0,0.079,0.0,0.045,,0.075,,0.0,0.0,,0.0,0.139,0.283,0.196,,0.0,0.18,0.03,,,0.0,,0.0,1.002,0.048,0.074
2024-11,,,0.0,0.289,,,0.092,0.0,,,,0.0,0.0,,1.062,,,0.0,,,,0.0,0.0,,,,,0.146
2024-12,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0
2025-01,0.0,,0.0,,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,0.0,,0.0,0.0
2025-02,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0
2025-03,,,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0
2025-04,0.0,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,0.0,,,,,0.0
2025-05,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0
2025-06,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,0.0,0.0
