month,matsumae02,matsumae04,matsumae05,matsumae06,matsumae07,matsumae08,matsumae09,matsumae10,matsumae11,matsumae12,matsumae13,matsumae14,matsumae15,matsumae16,matsumae17,matsumae18,matsumae19,matsumae20,matsumae21,matsumae22,matsumae23,matsumae24,matsumae25,matsumae26,matsumae27,matsumae28,matsumae31,合計_L
2022-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,940.0,0.0,0.0,2140.0
2023-01,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,1204.0,0.0,0.0,0.0,450.0,2567.0
2023-02,614.0,0.0,1465.0,0.0,1000.0,0.0,0.0,0.0,150.0,200.0,510.0,560.0,510.0,1774.0,88.0,0.0,547.0,0.0,511.0,400.0,900.0,180.0,990.0,0.0,1000.0,400.0,640.0,12439.0
2023-03,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,417.0,220.0,301.0,430.0,630.0,970.0,0.0,698.0,0.0,690.0,1011.0,0.0,800.0,400.0,350.0,0.0,587.0,1000.0,0.0,0.0,9704.0
2023-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,1050.0
2023-05,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0,0.0,0.0,268.0,0.0,0.0,351.0,200.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,2689.0
2023-06,0.0,1862.0,804.0,360.0,601.0,0.0,800.0,0.0,0.0,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,600.0,0.0,6507.0
2023-07,0.0,0.0,0.0,580.0,1000.0,0.0,0.0,409.0,0.0,0.0,0.0,0.0,500.0,0.0,316.0,400.0,0.0,1398.0,300.0,0.0,650.0,256.0,0.0,0.0,1001.0,0.0,620.0,7430.0
2023-08,386.0,402.0,0.0,0.0,1001.0,0.0,0.0,729.0,0.0,199.0,460.0,740.0,320.0,0.0,262.0,0.0,814.0,850.0,0.0,586.0,400.0,306.0,0.0,550.0,0.0,0.0,400.0,8405.0
2023-09,500.0,0.0,1000.0,760.0,970.0,1200.0,600.0,0.0,0.0,229.0,440.0,600.0,0.0,0.0,419.0,0.0,850.0,0.0,0.0,497.0,0.0,170.0,500.0,0.0,0.0,400.0,550.0,9685.0
2023-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0,0.0,0.0,0.0,510.0,2090.0,0.0,0.0,970.0,750.0,0.0,880.0,600.0,0.0,0.0,570.0,1000.0,500.0,540.0,8780.0
2023-11,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0,405.0,0.0,0.0,1181.0,0.0,0.0,0.0,273.0,1266.0,0.0,0.0,0.0,0.0,4030.0
2023-12,1001.0,0.0,0.0,1090.0,0.0,0.0,1000.0,658.0,0.0,550.0,420.0,530.0,0.0,0.0,0.0,0.0,340.0,0.0,630.0,0.0,0.0,186.0,1183.0,551.0,1000.0,400.0,0.0,9539.0
