vessel_id,date,ops,points
matsumae01,2024-07-09,1,1556
matsumae01,2024-07-11,1,1568
matsumae01,2024-07-16,1,1644
matsumae01,2024-10-27,1,625
matsumae02,2024-07-09,1,1384
matsumae02,2024-07-10,1,1320
matsumae02,2024-07-16,1,598
matsumae03,2024-07-10,1,1412
matsumae03,2024-07-17,1,1732
matsumae03,2024-08-07,2,1426
matsumae04,2024-07-09,1,776
matsumae04,2024-07-10,1,974
matsumae04,2024-07-16,1,1188
matsumae04,2024-08-19,1,578
matsumae04,2024-08-20,1,714
matsumae04,2024-09-29,1,642
matsumae04,2024-10-26,2,1184
matsumae05,2024-07-10,2,1318
matsumae05,2024-07-16,1,1078
matsumae05,2024-08-07,2,1139
matsumae06,2024-07-09,1,881
matsumae06,2024-07-10,1,816
matsumae06,2024-07-16,1,806
matsumae06,2024-07-17,1,1341
matsumae06,2024-11-10,1,540
matsumae07,2024-07-17,4,884
matsumae07,2024-08-01,2,446
matsumae07,2024-08-03,3,360
matsumae07,2024-08-07,3,938
matsumae08,2024-07-17,1,1286
matsumae08,2024-10-26,2,1487
matsumae08,2024-11-01,2,720
matsumae08,2024-11-02,1,794
matsumae09,2024-07-12,1,1364
matsumae09,2024-10-26,1,1434
matsumae09,2024-11-10,1,776
matsumae11,2024-07-10,4,541
matsumae11,2024-07-11,1,1014
matsumae11,2024-07-16,4,548
matsumae12,2024-07-10,1,1217
matsumae12,2024-07-11,2,920
matsumae12,2024-07-16,1,604
matsumae12,2024-07-17,2,395
matsumae12,2024-08-01,2,672
matsumae12,2024-08-03,1,706
matsumae12,2024-08-20,1,976
matsumae13,2024-08-06,1,2435
matsumae13,2024-08-07,1,2400
matsumae14,2024-08-03,2,700
matsumae14,2024-08-06,1,1068
matsumae14,2024-08-07,2,1332
matsumae15,2024-07-11,2,1368
matsumae15,2024-07-12,2,1374
matsumae15,2024-07-16,1,1230
matsumae15,2024-07-17,2,1382
matsumae15,2024-08-01,1,734
matsumae15,2024-08-03,4,460
matsumae15,2024-08-07,1,1240
matsumae15,2024-08-19,1,622
matsumae16,2024-07-17,1,2592
matsumae16,2024-08-07,2,2373
matsumae16,2024-10-18,1,2680
matsumae16,2024-10-26,1,1344
matsumae16,2024-11-01,1,2514
matsumae17,2024-07-11,1,1728
matsumae17,2024-08-01,2,532
matsumae17,2024-08-06,2,2085
matsumae17,2024-10-18,2,634
matsumae17,2024-10-26,2,697
matsumae17,2024-11-01,1,838
matsumae17,2024-11-10,1,2526
matsumae18,2024-07-09,1,1232
matsumae18,2024-07-10,2,1254
matsumae18,2024-07-11,2,1192
matsumae18,2024-07-16,2,1490
matsumae18,2024-07-17,2,1011
matsumae18,2024-08-01,2,670
matsumae18,2024-08-03,1,728
matsumae18,2024-08-06,1,814
matsumae18,2024-08-07,1,1353
matsumae18,2024-08-19,2,406
matsumae18,2024-08-20,2,1074
matsumae18,2024-10-18,1,870
matsumae18,2024-10-26,1,1462
matsumae19,2024-07-16,1,1115
matsumae19,2024-07-17,1,1090
matsumae20,2024-07-11,1,1608
matsumae20,2024-07-16,1,1608
matsumae21,2024-07-16,1,1034
matsumae21,2024-07-17,3,892
matsumae21,2024-09-09,1,612
matsumae21,2024-09-12,1,445
matsumae21,2024-10-12,1,652
matsumae21,2024-10-30,1,566
matsumae22,2024-07-16,1,983
matsumae22,2024-08-19,2,325
matsumae22,2024-08-20,1,478
matsumae22,2024-10-14,1,632
matsumae22,2024-11-01,1,571
matsumae22,2024-11-10,1,548
matsumae23,2024-07-09,1,1230
matsumae23,2024-07-10,1,1248
matsumae23,2024-07-11,1,1104
matsumae23,2024-07-17,1,800
matsumae24,2024-07-10,2,1258
matsumae24,2024-07-17,2,962
matsumae24,2024-08-07,1,1249
matsumae25,2024-07-10,2,1184
matsumae25,2024-07-16,1,955
matsumae25,2024-08-03,1,704
matsumae25,2024-08-07,1,920
matsumae26,2024-07-12,1,612
matsumae26,2024-07-16,1,1075
matsumae26,2024-07-17,1,1041
matsumae26,2024-08-06,1,654
matsumae27,2024-07-10,1,924
matsumae27,2024-07-11,1,1052
matsumae27,2024-07-17,1,1155
matsumae27,2024-08-07,2,975
matsumae28,2024-07-16,1,872
matsumae28,2024-07-17,1,928
matsumae28,2024-10-18,1,658
matsumae28,2024-10-26,2,1280
matsumae28,2024-11-10,1,711
