vessel_id,op_id,start_ts,end_ts,days,points,distance_km
matsumae01,1,2024-07-09 00:59:39+09:00,2024-07-09 13:56:39+09:00,2024-07-09,1556,73.5014928118822
matsumae01,2,2024-07-11 00:59:39+09:00,2024-07-11 14:04:40+09:00,2024-07-11,1568,86.57396325548456
matsumae01,3,2024-07-16 01:08:39+09:00,2024-07-16 14:53:39+09:00,2024-07-16,1644,80.87965542855056
matsumae01,4,2024-10-27 05:37:39+09:00,2024-10-27 11:49:39+09:00,2024-10-27,625,50.29117130710261
matsumae02,1,2024-07-09 00:27:21+09:00,2024-07-09 12:20:19+09:00,2024-07-09,1384,83.87887974971291
matsumae02,2,2024-07-10 00:33:19+09:00,2024-07-10 12:38:19+09:00,2024-07-10,1320,89.2350065380773
matsumae02,3,2024-07-16 00:23:19+09:00,2024-07-16 06:50:20+09:00,2024-07-16,598,30.835664395960354
matsumae03,1,2024-07-10 00:01:14+09:00,2024-07-10 12:04:14+09:00,2024-07-10,1412,56.161640255272815
matsumae03,2,2024-07-17 00:00:14+09:00,2024-07-17 14:28:14+09:00,2024-07-17,1732,81.43661454948594
matsumae03,3,2024-08-07 01:30:15+09:00,2024-08-07 12:08:14+09:00,2024-08-07,1257,68.51797948530525
matsumae04,1,2024-07-09 00:54:49+09:00,2024-07-09 07:40:50+09:00,2024-07-09,776,41.89922955276883
matsumae04,2,2024-07-10 00:41:49+09:00,2024-07-10 09:43:49+09:00,2024-07-10,974,44.815677168244186
matsumae04,3,2024-07-16 00:47:49+09:00,2024-07-16 11:36:49+09:00,2024-07-16,1188,75.3796624132797
matsumae04,4,2024-08-19 01:17:50+09:00,2024-08-19 07:08:49+09:00,2024-08-19,578,54.47739988328694
matsumae04,5,2024-08-20 01:14:50+09:00,2024-08-20 07:12:49+09:00,2024-08-20,714,64.2183362325369
matsumae04,6,2024-09-29 02:24:50+09:00,2024-09-29 08:14:49+09:00,2024-09-29,642,54.48105222098128
matsumae04,7,2024-10-26 02:52:49+09:00,2024-10-26 08:55:49+09:00,2024-10-26,642,43.4777831332937
matsumae04,8,2024-10-26 10:50:50+09:00,2024-10-26 15:20:49+09:00,2024-10-26,542,56.64457877072596
matsumae05,1,2024-07-10 01:10:09+09:00,2024-07-10 09:59:09+09:00,2024-07-10,1050,74.5397591412817
matsumae05,3,2024-07-16 00:59:09+09:00,2024-07-16 10:52:09+09:00,2024-07-16,1078,82.46757277383766
matsumae05,4,2024-08-07 01:37:10+09:00,2024-08-07 11:00:10+09:00,2024-08-07,1114,78.24605581481742
matsumae06,1,2024-07-09 01:12:24+09:00,2024-07-09 10:28:24+09:00,2024-07-09,881,76.42619713023309
