vessel_id,水揚げ回数,総重量_kg,燃油代_円,初回漁獲日,最終漁獲日,燃油量_L
matsumae12,51,1804.6,120792.0,2023-07-08,2023-12-12,978.0
matsumae23,44,2059.7,290125.0,2023-07-04,2023-12-17,2150.0
matsumae25,42,1747.7,480744.0,2023-07-10,2023-09-21,3949.0
matsumae28,41,1692.3,181720.0,2023-08-01,2023-12-13,1300.0
matsumae11,40,1650.1,0.0,2023-07-08,2023-09-21,0.0
matsumae21,40,1735.5,113207.0,2023-08-01,2023-12-12,930.0
matsumae03,39,1636.1,0.0,2023-07-10,2023-09-25,0.0
matsumae22,39,1758.8,244416.0,2023-07-18,2023-12-17,1963.0
matsumae10,39,1728.7,266213.0,2023-07-20,2023-12-12,2166.0
matsumae31,38,1676.2,352523.0,2023-07-04,2023-12-12,2560.0
matsumae17,37,1730.0,194616.0,2023-07-18,2023-11-05,1595.0
matsumae24,36,1649.1,171337.0,2023-07-10,2023-09-23,1395.0
matsumae07,36,1634.9,383255.0,2023-07-24,2023-09-24,2971.0
matsumae02,35,1714.4,334893.0,2023-07-08,2023-12-04,2731.0
matsumae01,35,1642.1,0.0,2023-07-08,2023-07-17,0.0
matsumae04,35,1638.6,51959.0,2023-07-08,2023-09-11,402.0
matsumae15,35,1630.5,302061.0,2023-07-20,2023-09-23,2250.0
matsumae14,34,1654.2,257587.0,2023-07-20,2023-12-13,1870.0
matsumae16,33,1689.7,242545.0,2023-07-18,2023-11-16,2090.0
matsumae06,33,1723.5,335379.0,2023-07-08,2023-12-11,2430.0
matsumae27,33,1660.6,359822.0,2023-07-18,2023-09-21,3001.0
matsumae08,32,1558.2,145200.0,2023-07-20,2023-10-12,1200.0
matsumae13,31,1626.0,181566.0,2023-07-20,2023-12-13,1320.0
matsumae05,31,1636.5,135850.0,2023-07-18,2023-09-21,1000.0
matsumae09,30,1700.7,194150.0,2023-07-17,2023-12-06,1600.0
matsumae19,29,1296.0,364121.0,2023-08-01,2023-09-27,2974.0
matsumae20,28,1660.5,510026.0,2023-07-17,2023-07-18,4179.0
matsumae18,25,1029.1,54120.0,2023-08-01,2023-12-17,400.0
matsumae26,11,450.3,205726.0,2023-09-11,2023-09-25,1671.0
