vessel_id,水揚げ回数,総重量_kg,総売上_円,燃油代_円,初回漁獲日,最終漁獲日,燃油量_L
matsumae18,108,5746.1,9118919,266420.0,2024-07-09,2024-10-26,2000.0
matsumae15,93,4889.4,7367882,569967.0,2024-07-10,2024-08-19,4180.0
matsumae25,47,2450.6,3798626,398640.0,2024-07-09,2024-08-07,3200.0
matsumae11,45,2104.3,3205722,29475.0,2024-07-10,2024-07-16,233.0
matsumae01,45,2522.0,4037379,0.0,2024-07-09,2024-10-27,0.0
matsumae12,39,1967.3,3181566,133931.0,2024-07-10,2024-08-20,1071.0
matsumae17,39,1632.2,2949528,242264.0,2024-07-10,2024-11-10,1954.0
matsumae02,38,1816.1,3105015,279617.0,2024-07-09,2024-07-16,2265.0
matsumae28,37,1801.2,2905569,167189.0,2024-07-16,2024-11-10,1220.0
matsumae20,37,1966.6,2875018,597497.0,2024-07-11,2024-07-16,4867.0
matsumae24,35,1883.6,2800072,144430.0,2024-07-10,2024-08-07,1156.0
matsumae27,35,1771.0,2626890,251350.0,2024-07-10,2024-08-07,2000.0
matsumae05,34,1885.2,2817285,289483.0,2024-07-10,2024-08-07,2268.0
matsumae23,34,1924.5,3407894,369050.0,2024-07-09,2024-07-17,2800.0
matsumae16,32,1750.8,2728774,101475.0,2024-07-17,2024-11-01,820.0
matsumae07,31,1755.2,2581038,123750.0,2024-07-17,2024-08-07,1000.0
matsumae03,31,1723.6,2648449,0.0,2024-07-10,2024-08-07,0.0
matsumae06,31,1807.2,3109157,232431.0,2024-07-09,2024-11-10,1700.0
matsumae09,31,1426.9,1902308,244200.0,2024-07-12,2024-11-10,2000.0
matsumae19,30,1796.8,2546752,280114.0,2024-07-16,2024-07-17,2136.0
matsumae13,29,1490.2,2030595,137792.0,2024-08-06,2024-08-07,970.0
matsumae26,26,1534.7,2113723,135746.0,2024-07-12,2024-08-06,1070.0
matsumae04,24,1310.7,2397340,260497.0,2024-07-09,2024-10-26,2081.0
matsumae31,24,1341.2,2180877,560968.0,2024-07-09,2024-10-26,4100.0
matsumae21,22,1315.7,2300657,49500.0,2024-07-16,2024-10-30,400.0
matsumae10,21,1053.2,1681225,198494.0,2024-07-10,2024-10-18,1626.0
matsumae08,20,1045.4,1788260,148500.0,2024-07-17,2024-11-02,1200.0
matsumae22,19,1143.7,1791217,199925.0,2024-07-16,2024-11-10,1600.0
matsumae14,16,907.1,1238966,160633.0,2024-08-03,2024-08-07,1180.0
