vessel_id,水揚げ回数,総重量_kg,燃油代_円,燃油量_L,総移動距離_km,漁獲日数,漁獲効率_kg_per_km,燃油効率_kg_per_l
matsumae20,28,1660.5,510026,4179,0.0,0,0.0,0.397
matsumae25,42,1747.7,480744,3949,122.3,3,14.29,0.443
matsumae07,36,1634.9,383255,2971,407.8,10,4.009,0.55
matsumae19,29,1296.0,364121,2974,291.9,6,4.44,0.436
matsumae27,33,1660.6,359822,3001,40.1,1,41.411,0.553
matsumae31,38,1676.2,352523,2560,0.0,0,0.0,0.655
matsumae06,33,1723.5,335379,2430,174.2,3,9.894,0.709
matsumae02,35,1714.4,334893,2731,352.2,8,4.868,0.628
matsumae15,35,1630.5,302061,2250,27.9,1,58.441,0.725
matsumae23,44,2059.7,290125,2150,0.0,0,0.0,0.958
matsumae10,39,1728.7,266213,2166,0.0,0,0.0,0.798
matsumae14,34,1654.2,257587,1870,191.4,4,8.643,0.885
matsumae22,39,1758.8,244416,1963,63.9,2,27.524,0.896
matsumae16,33,1689.7,242545,2090,49.8,1,33.93,0.808
matsumae26,11,450.3,205726,1671,132.6,3,3.396,0.269
matsumae17,37,1730.0,194616,1595,51.6,1,33.527,1.085
matsumae09,30,1700.7,194150,1600,87.0,2,19.548,1.063
matsumae28,41,1692.3,181720,1300,211.4,4,8.005,1.302
matsumae13,31,1626.0,181566,1320,92.5,2,17.578,1.232
matsumae24,36,1649.1,171337,1395,70.6,2,23.358,1.182
matsumae08,32,1558.2,145200,1200,328.5,8,4.743,1.298
matsumae05,31,1636.5,135850,1000,127.4,3,12.845,1.636
matsumae12,51,1804.6,120792,978,301.6,8,5.983,1.845
matsumae21,40,1735.5,113207,930,114.2,3,15.197,1.866
matsumae18,25,1029.1,54120,400,79.3,2,12.977,2.573
matsumae04,35,1638.6,51959,402,303.0,7,5.408,4.076
matsumae11,40,1650.1,0,0,25.7,1,64.206,
matsumae03,39,1636.1,0,0,225.8,5,7.246,
matsumae01,35,1642.1,0,0,176.2,3,9.32,
