vessel_id,水揚げ回数,総重量_kg,総売上_円,燃油代_円,燃油量_L,総移動距離_km,漁獲日数,平均単価_円per_kg,売上効率_円per_km,漁獲効率_kg_per_km,燃油効率_kg_per_l,日別売上_円per_day
matsumae20,37,1966.6,2875018,597497,4867,151.3,2.0,1462.0,19002.0,12.998,0.404,1437509.0
matsumae15,93,4889.4,7367882,569967,4180,429.8,8.0,1507.0,17143.0,11.376,1.17,920985.0
matsumae31,24,1341.2,2180877,560968,4100,0.0,0.0,1626.0,0.0,0.0,0.327,0.0
matsumae25,47,2450.6,3798626,398640,3200,195.8,4.0,1550.0,19401.0,12.516,0.766,949656.0
matsumae23,34,1924.5,3407894,369050,2800,220.5,4.0,1771.0,15455.0,8.728,0.687,851974.0
matsumae05,34,1885.2,2817285,289483,2268,197.2,3.0,1494.0,14286.0,9.56,0.831,939095.0
matsumae19,30,1796.8,2546752,280114,2136,148.7,2.0,1417.0,17127.0,12.083,0.841,1273376.0
matsumae02,38,1816.1,3105015,279617,2265,173.6,3.0,1710.0,17886.0,10.461,0.802,1035005.0
matsumae18,108,5746.1,9118919,266420,2000,750.8,13.0,1587.0,12146.0,7.653,2.873,701455.0
matsumae04,24,1310.7,2397340,260497,2081,314.6,7.0,1829.0,7620.0,4.166,0.63,342477.0
matsumae27,35,1771.0,2626890,251350,2000,223.5,4.0,1483.0,11753.0,7.924,0.886,656722.0
matsumae09,31,1426.9,1902308,244200,2000,223.9,3.0,1333.0,8496.0,6.373,0.713,634103.0
matsumae17,39,1632.2,2949528,242264,1954,240.4,7.0,1807.0,12269.0,6.79,0.835,421361.0
matsumae06,31,1807.2,3109157,232431,1700,336.2,5.0,1720.0,9248.0,5.375,1.063,621831.0
matsumae22,19,1143.7,1791217,199925,1600,234.1,6.0,1566.0,7652.0,4.886,0.715,298536.0
matsumae10,21,1053.2,1681225,198494,1626,0.0,0.0,1596.0,0.0,0.0,0.648,0.0
matsumae28,37,1801.2,2905569,167189,1220,271.7,5.0,1613.0,10694.0,6.629,1.476,581114.0
matsumae14,16,907.1,1238966,160633,1180,177.5,3.0,1366.0,6980.0,5.11,0.769,412989.0
matsumae08,20,1045.4,1788260,148500,1200,217.3,4.0,1711.0,8229.0,4.811,0.871,447065.0
matsumae24,35,1883.6,2800072,144430,1156,209.9,3.0,1487.0,13340.0,8.974,1.629,933357.0
matsumae13,29,1490.2,2030595,137792,970,152.5,2.0,1363.0,13315.0,9.772,1.536,1015298.0
matsumae26,26,1534.7,2113723,135746,1070,158.1,4.0,1377.0,13370.0,9.707,1.434,528431.0
matsumae12,39,1967.3,3181566,133931,1071,288.1,7.0,1617.0,11043.0,6.829,1.837,454509.0
matsumae07,31,1755.2,2581038,123750,1000,83.8,4.0,1471.0,30800.0,20.945,1.755,645260.0
matsumae16,32,1750.8,2728774,101475,820,204.7,5.0,1559.0,13331.0,8.553,2.135,545755.0
matsumae21,22,1315.7,2300657,49500,400,281.6,6.0,1749.0,8170.0,4.672,3.289,383443.0
matsumae11,45,2104.3,3205722,29475,233,96.4,3.0,1523.0,33254.0,21.829,9.031,1068574.0
matsumae01,45,2522.0,4037379,0,0,235.9,4.0,1601.0,17115.0,10.691,,1009345.0
matsumae03,31,1723.6,2648449,0,0,168.6,3.0,1537.0,15708.0,10.223,,882816.0
