vessel_id,漁獲日数,総移動距離_km,平均日移動距離_km,最大日移動距離_km,最小日移動距離_km,移動距離標準偏差
matsumae07,10,407.8,40.8,49.1,28.4,6.6
matsumae02,8,352.2,44.0,68.3,33.6,10.0
matsumae08,8,328.5,41.1,55.6,32.4,6.9
matsumae04,7,303.0,43.3,60.0,25.8,11.6
matsumae12,8,301.6,37.7,59.9,28.2,11.3
matsumae19,6,291.9,48.7,65.3,37.5,8.8
matsumae03,5,225.8,45.2,62.6,25.3,12.0
matsumae28,4,211.4,52.9,72.7,37.5,12.8
matsumae14,4,191.4,47.9,50.9,39.4,4.9
matsumae01,3,176.2,58.7,72.1,43.0,12.0
matsumae06,3,174.2,58.1,62.7,50.2,5.6
matsumae26,3,132.6,44.2,48.3,40.2,3.3
matsumae05,3,127.4,42.5,46.9,34.3,5.8
matsumae25,3,122.3,40.8,42.3,39.9,1.1
matsumae21,3,114.2,38.1,41.3,32.3,4.1
matsumae13,2,92.5,46.3,48.4,44.1,2.1
matsumae09,2,87.0,43.5,45.3,41.8,1.8
matsumae18,2,79.3,39.7,47.4,31.9,7.8
matsumae24,2,70.6,35.3,40.2,30.4,4.9
matsumae22,2,63.9,31.9,39.4,24.5,7.5
matsumae17,1,51.6,51.6,51.6,51.6,0.0
matsumae16,1,49.8,49.8,49.8,49.8,0.0
matsumae27,1,40.1,40.1,40.1,40.1,0.0
matsumae15,1,27.9,27.9,27.9,27.9,0.0
matsumae11,1,25.7,25.7,25.7,25.7,0.0
