line_number_1based,vessel_id,ts,prev_ts,lat,long,lat_dd,long_dd
2,matsumae06,2023-07-08 00:00:25,,4123.793,14004.968,41.39655,140.0828
4,matsumae06,2023-07-08 00:02:24,,4123.882,14004.548,41.398033,140.0758
6,matsumae06,2023-07-08 00:03:24,,4123.934,14004.336,41.3989,140.072267
8,matsumae06,2023-07-08 00:04:24,,4123.994,14004.115,41.3999,140.068583
10,matsumae06,2023-07-08 00:05:24,,4124.047,14003.882,41.400783,140.0647
12,matsumae06,2023-07-08 00:06:25,,4124.092,14003.635,41.401533,140.060583
14,matsumae06,2023-07-08 00:07:25,,4124.142,14003.379,41.402367,140.056317
16,matsumae06,2023-07-08 00:08:24,,4124.197,14003.121,41.403283,140.052017
18,matsumae06,2023-07-08 00:09:25,,4124.247,14002.866,41.404117,140.047767
20,matsumae06,2023-07-08 00:10:24,,4124.293,14002.615,41.404883,140.043583
22,matsumae06,2023-07-08 00:11:24,,4124.344,14002.359,41.405733,140.039317
24,matsumae02,2023-07-08 00:12:19,,4132.986,13959.26,41.549767,139.987667
26,matsumae06,2023-07-08 00:12:24,,4124.433,14002.134,41.407217,140.035567
28,matsumae02,2023-07-08 00:13:19,,4132.893,13959.257,41.548217,139.987617
30,matsumae06,2023-07-08 00:13:25,,4124.536,14001.909,41.408933,140.031817
32,matsumae02,2023-07-08 00:14:19,,4132.792,13959.271,41.546533,139.98785
34,matsumae06,2023-07-08 00:14:24,,4124.642,14001.685,41.4107,140.028083
36,matsumae02,2023-07-08 00:15:19,,4132.774,13959.094,41.546233,139.9849
38,matsumae06,2023-07-08 00:15:24,,4124.733,14001.447,41.412217,140.024117
40,matsumae02,2023-07-08 00:16:20,,4132.757,13958.9,41.54595,139.981667
42,matsumae06,2023-07-08 00:16:24,,4124.825,14001.213,41.41375,140.020217
44,matsumae02,2023-07-08 00:17:20,,4132.693,13958.721,41.544883,139.978683
46,matsumae06,2023-07-08 00:17:25,,4124.9,14001.021,41.415,140.017017
48,matsumae02,2023-07-08 00:18:20,,4132.63,13958.544,41.543833,139.975733
50,matsumae06,2023-07-08 00:18:25,,4124.98,14000.838,41.416333,140.013967
52,matsumae02,2023-07-08 00:19:19,,4132.556,13958.371,41.5426,139.97285
54,matsumae06,2023-07-08 00:19:25,,4125.052,14000.633,41.417533,140.01055
56,matsumae02,2023-07-08 00:20:20,,4132.481,13958.207,41.54135,139.970117
58,matsumae06,2023-07-08 00:20:24,,4125.12,14000.43,41.418667,140.007167
60,matsumae02,2023-07-08 00:21:20,,4132.409,13958.047,41.54015,139.96745
62,matsumae06,2023-07-08 00:21:25,,4125.179,14000.207,41.41965,140.00345
64,matsumae02,2023-07-08 00:22:19,,4132.365,13957.866,41.539417,139.964433
66,matsumae06,2023-07-08 00:22:25,,4125.242,13959.999,41.4207,139.999983
68,matsumae02,2023-07-08 00:23:20,,4132.288,13957.707,41.538133,139.961783
70,matsumae06,2023-07-08 00:23:24,,4125.304,13959.792,41.421733,139.996533
72,matsumae02,2023-07-08 00:24:18,,4132.237,13957.534,41.537283,139.9589
74,matsumae06,2023-07-08 00:24:24,,4125.365,13959.594,41.42275,139.993233
76,matsumae01,2023-07-08 00:24:39,,4129.165,14001.117,41.486083,140.018617
78,matsumae02,2023-07-08 00:25:19,,4132.171,13957.367,41.536183,139.956117
80,matsumae06,2023-07-08 00:25:25,,4125.43,13959.397,41.423833,139.98995
82,matsumae01,2023-07-08 00:25:39,,4129.166,14001.119,41.4861,140.01865
84,matsumae02,2023-07-08 00:26:19,,4132.108,13957.203,41.535133,139.953383
86,matsumae06,2023-07-08 00:26:24,,4125.485,13959.201,41.42475,139.986683
88,matsumae01,2023-07-08 00:26:39,,4129.166,14001.121,41.4861,140.018683
90,matsumae02,2023-07-08 00:27:19,,4132.04,13957.047,41.534,139.950783
92,matsumae06,2023-07-08 00:27:24,,4125.547,13959.022,41.425783,139.9837
94,matsumae01,2023-07-08 00:27:39,,4129.166,14001.12,41.4861,140.018667
96,matsumae04,2023-07-08 00:27:49,,4129.061,14001.15,41.48435,140.019167
98,matsumae02,2023-07-08 00:28:19,,4131.992,13956.876,41.5332,139.947933
100,matsumae06,2023-07-08 00:28:24,,4125.61,13958.829,41.426833,139.980483
102,matsumae01,2023-07-08 00:28:39,,4129.166,14001.12,41.4861,140.018667
104,matsumae04,2023-07-08 00:28:50,,4128.995,14001.101,41.48325,140.01835
106,matsumae02,2023-07-08 00:29:19,,4131.957,13956.701,41.532617,139.945017
108,matsumae06,2023-07-08 00:29:25,,4125.675,13958.642,41.427917,139.977367
110,matsumae01,2023-07-08 00:29:39,,4129.163,14001.094,41.48605,140.018233
112,matsumae04,2023-07-08 00:29:49,,4128.926,14000.973,41.4821,140.016217
114,matsumae02,2023-07-08 00:30:20,,4131.94,13956.525,41.532333,139.942083
116,matsumae06,2023-07-08 00:30:24,,4125.746,13958.466,41.4291,139.974433
118,matsumae01,2023-07-08 00:30:40,,4129.081,14001.149,41.484683,140.01915
120,matsumae04,2023-07-08 00:30:50,,4128.786,14000.834,41.479767,140.0139
122,matsumae02,2023-07-08 00:31:19,,4131.902,13956.354,41.5317,139.939233
124,matsumae06,2023-07-08 00:31:25,,4125.806,13958.281,41.4301,139.97135
126,matsumae01,2023-07-08 00:31:39,,4128.998,14001.113,41.4833,140.01855
128,matsumae04,2023-07-08 00:31:50,,4128.66,14000.666,41.477667,140.0111
130,matsumae02,2023-07-08 00:32:20,,4131.931,13956.199,41.532183,139.93665
132,matsumae06,2023-07-08 00:32:24,,4125.871,13958.085,41.431183,139.968083
134,matsumae01,2023-07-08 00:32:40,,4128.923,14000.945,41.48205,140.01575
136,matsumae04,2023-07-08 00:32:49,,4128.561,14000.496,41.476017,140.008267
138,matsumae02,2023-07-08 00:33:19,,4131.942,13956.035,41.532367,139.933917
140,matsumae06,2023-07-08 00:33:24,,4125.94,13957.904,41.432333,139.965067
142,matsumae01,2023-07-08 00:33:39,,4128.821,14000.803,41.48035,140.013383
144,matsumae04,2023-07-08 00:33:49,,4128.601,14000.293,41.476683,140.004883
146,matsumae02,2023-07-08 00:34:20,,4131.971,13955.881,41.53285,139.93135
148,matsumae06,2023-07-08 00:34:24,,4126.011,13957.72,41.433517,139.962
150,matsumae01,2023-07-08 00:34:39,,4128.767,14000.617,41.47945,140.010283
152,matsumae04,2023-07-08 00:34:49,,4128.637,14000.093,41.477283,140.00155
154,matsumae02,2023-07-08 00:35:20,,4132.024,13955.744,41.533733,139.929067
156,matsumae06,2023-07-08 00:35:25,,4126.107,13957.57,41.435117,139.9595
158,matsumae01,2023-07-08 00:35:39,,4128.739,14000.413,41.478983,140.006883
160,matsumae04,2023-07-08 00:35:49,,4128.694,13959.909,41.478233,139.998483
162,matsumae02,2023-07-08 00:36:19,,4132.071,13955.621,41.534517,139.927017
164,matsumae06,2023-07-08 00:36:24,,4126.199,13957.399,41.43665,139.95665
166,matsumae01,2023-07-08 00:36:40,,4128.734,14000.218,41.4789,140.003633
168,matsumae04,2023-07-08 00:36:50,,4128.754,13959.736,41.479233,139.9956
170,matsumae02,2023-07-08 00:37:20,,4132.064,13955.587,41.5344,139.92645
172,matsumae06,2023-07-08 00:37:24,,4126.296,13957.232,41.438267,139.953867
174,matsumae01,2023-07-08 00:37:40,,4128.756,14000.029,41.479267,140.000483
176,matsumae04,2023-07-08 00:37:49,,4128.812,13959.561,41.4802,139.992683
178,matsumae02,2023-07-08 00:38:20,,4132.046,13955.577,41.5341,139.926283
180,matsumae06,2023-07-08 00:38:24,,4126.41,13957.099,41.440167,139.95165
182,matsumae01,2023-07-08 00:38:40,,4128.778,13959.845,41.479633,139.997417
184,matsumae04,2023-07-08 00:38:49,,4128.87,13959.39,41.481167,139.989833
186,matsumae02,2023-07-08 00:39:19,,4132.026,13955.577,41.533767,139.926283
188,matsumae06,2023-07-08 00:39:24,,4126.533,13956.973,41.442217,139.94955
190,matsumae01,2023-07-08 00:39:39,,4128.798,13959.665,41.479967,139.994417
192,matsumae04,2023-07-08 00:39:50,,4128.928,13959.214,41.482133,139.9869
194,matsumae02,2023-07-08 00:40:19,,4132.007,13955.575,41.53345,139.92625
196,matsumae06,2023-07-08 00:40:25,,4126.642,13956.827,41.444033,139.947117
198,matsumae01,2023-07-08 00:40:39,,4128.817,13959.487,41.480283,139.99145
200,matsumae04,2023-07-08 00:40:50,,4128.987,13959.037,41.483117,139.98395
202,matsumae02,2023-07-08 00:41:19,,4131.986,13955.572,41.5331,139.9262
204,matsumae06,2023-07-08 00:41:26,,4126.757,13956.677,41.44595,139.944617
206,matsumae01,2023-07-08 00:41:40,,4128.836,13959.309,41.4806,139.988483
208,matsumae04,2023-07-08 00:41:49,,4129.046,13958.861,41.4841,139.981017
210,matsumae02,2023-07-08 00:42:19,,4131.965,13955.569,41.53275,139.92615
212,matsumae06,2023-07-08 00:42:25,,4126.87,13956.533,41.447833,139.942217
214,matsumae01,2023-07-08 00:42:39,,4128.855,13959.128,41.480917,139.985467
216,matsumae04,2023-07-08 00:42:50,,4129.108,13958.687,41.485133,139.978117
218,matsumae02,2023-07-08 00:43:19,,4131.946,13955.565,41.532433,139.926083
220,matsumae06,2023-07-08 00:43:24,,4126.981,13956.387,41.449683,139.939783
222,matsumae01,2023-07-08 00:43:40,,4128.873,13958.945,41.481217,139.982417
224,matsumae04,2023-07-08 00:43:49,,4129.171,13958.508,41.486183,139.975133
226,matsumae02,2023-07-08 00:44:20,,4131.926,13955.562,41.5321,139.926033
228,matsumae06,2023-07-08 00:44:24,,4127.094,13956.239,41.451567,139.937317
230,matsumae01,2023-07-08 00:44:40,,4128.896,13958.766,41.4816,139.979433
232,matsumae04,2023-07-08 00:44:49,,4129.232,13958.33,41.4872,139.972167
234,matsumae02,2023-07-08 00:45:19,,4131.907,13955.56,41.531783,139.926
236,matsumae06,2023-07-08 00:45:24,,4127.208,13956.092,41.453467,139.934867
