trip_id,vessel_id,dep_ts,arr_ts,duration_h,fishing_h,steaming_h,distance_km,dep_lat,dep_lon,arr_lat,arr_lon,dep_date,arr_date
matsumae01_T1,matsumae01,2023-07-08 00:39:39,2023-07-08 07:13:39,6.566666666666666,4.2,2.3666666666666667,38.373312408126374,41.479967,139.994417,41.485583,139.9927,2023-07-08,2023-07-08
matsumae01_T17,matsumae01,2023-08-11 08:03:40,2023-08-11 14:08:39,6.083055555555556,4.083333333333334,1.9997222222222224,10.479884924301727,41.563867,139.972283,41.560933,139.968067,2023-08-11,2023-08-11
matsumae01_T2,matsumae01,2023-07-10 01:10:40,2023-07-10 12:23:39,11.21638888888889,8.067222222222222,3.149166666666667,56.49839082281349,41.4813,139.996683,41.415433,140.065167,2023-07-10,2023-07-10
matsumae01_T20,matsumae01,2023-08-19 08:03:39,2023-08-19 13:25:39,5.366666666666667,4.1002777777777775,1.266388888888889,13.683135291937537,41.566483,139.97635,41.564317,139.9737,2023-08-19,2023-08-19
matsumae01_T49,matsumae01,2023-09-12 08:03:40,2023-09-12 10:41:39,2.6330555555555555,0.16694444444444445,2.466111111111111,45.35430537116535,41.4677,140.0042,41.461117,140.007783,2023-09-12,2023-09-12
matsumae01_T5,matsumae01,2023-07-17 01:09:40,2023-07-17 10:04:40,8.916666666666666,6.6675,2.2491666666666665,40.12328526914209,41.4875,139.9921,41.44575,140.017683,2023-07-17,2023-07-17
matsumae01_T50,matsumae01,2023-10-25 06:33:39,2023-10-25 11:03:39,4.5,2.6675,1.8325,33.69788184592935,41.474667,139.999117,41.479367,139.994667,2023-10-25,2023-10-25
matsumae01_T52,matsumae01,2023-11-09 06:10:40,2023-11-09 09:10:39,2.999722222222222,0.4166666666666667,2.5830555555555557,46.025081686769155,41.461367,140.007317,41.467983,140.0052,2023-11-09,2023-11-09
matsumae01_T9,matsumae01,2023-07-20 08:50:39,2023-07-20 13:22:39,4.533333333333333,2.483611111111111,2.0497222222222224,40.24399981898507,41.473233,140.00125,41.472517,140.0014,2023-07-20,2023-07-20
matsumae02_T1,matsumae02,2023-07-08 00:21:20,2023-07-08 06:36:19,6.249722222222222,3.6497222222222225,2.6,34.6524730198813,41.54015,139.96745,41.5341,139.969067,2023-07-08,2023-07-08
matsumae02_T10,matsumae02,2023-08-21 01:29:19,2023-08-21 06:43:19,5.233333333333333,1.3825,3.8508333333333336,33.22456900077503,41.546317,139.963917,41.53555,139.969483,2023-08-21,2023-08-21
matsumae02_T11,matsumae02,2023-09-03 01:39:19,2023-09-03 07:21:20,5.700277777777778,3.766388888888889,1.933888888888889,29.81482642386469,41.5406,139.967333,41.54265,139.964917,2023-09-03,2023-09-03
matsumae02_T12,matsumae02,2023-09-08 05:05:20,2023-09-08 09:26:20,4.3500000000000005,3.116111111111111,1.2338888888888888,15.585952870529637,41.56015,139.9671,41.55775,139.96505,2023-09-08,2023-09-08
matsumae02_T13,matsumae02,2023-09-23 02:26:20,2023-09-23 07:03:20,4.616666666666667,2.2169444444444446,2.399722222222222,29.32941541864973,41.534283,139.970317,41.539617,139.96815,2023-09-23,2023-09-23
matsumae02_T14,matsumae02,2023-09-24 02:35:20,2023-09-24 08:12:19,5.616388888888889,2.616111111111111,3.000277777777778,41.75880323718441,41.54795,139.96405,41.553217,139.96385,2023-09-24,2023-09-24
matsumae02_T15,matsumae02,2023-09-25 02:25:19,2023-09-25 08:24:19,5.983333333333333,2.8666666666666667,3.1166666666666667,41.189917238224965,41.549883,139.964167,41.563117,139.971133,2023-09-25,2023-09-25
matsumae02_T16,matsumae02,2023-09-26 02:27:20,2023-09-26 07:48:19,5.349722222222223,2.617777777777778,2.7319444444444447,35.62980383725553,41.55075,139.964033,41.5632,139.970383,2023-09-26,2023-09-26
matsumae02_T17,matsumae02,2023-09-27 02:26:20,2023-09-27 07:31:20,5.083333333333333,2.1819444444444445,2.901388888888889,35.34088394149406,41.548983,139.9636,41.55965,139.966683,2023-09-27,2023-09-27
matsumae02_T18,matsumae02,2023-09-30 02:29:20,2023-09-30 08:20:19,5.849722222222223,3.7,2.149722222222222,33.388258929897546,41.547367,139.963217,41.551983,139.963283,2023-09-30,2023-09-30
matsumae02_T19,matsumae02,2023-10-26 06:37:19,2023-10-26 10:43:19,4.1000000000000005,2.9655555555555555,1.1344444444444446,16.91541128805515,41.541633,139.9662,41.54135,139.966617,2023-10-26,2023-10-26
matsumae02_T2,matsumae02,2023-07-10 00:54:19,2023-07-10 08:53:20,7.983611111111111,5.883888888888889,2.0997222222222223,35.23373643650662,41.550567,139.963667,41.492717,139.990867,2023-07-10,2023-07-10
matsumae02_T20,matsumae02,2023-11-05 05:28:20,2023-11-05 12:50:19,7.366388888888889,5.55,1.8163888888888888,21.436637604102753,41.55585,139.96515,41.563867,139.971567,2023-11-05,2023-11-05
matsumae02_T21,matsumae02,2023-11-09 05:27:20,2023-11-09 13:43:20,8.266666666666667,4.483333333333333,3.783333333333333,35.428921655864315,41.5567,139.964983,41.562017,139.969933,2023-11-09,2023-11-09
matsumae02_T22,matsumae02,2023-11-15 06:11:19,2023-11-15 13:03:20,6.866944444444445,4.969444444444445,1.8975,34.571142595952566,41.538683,139.9688,41.541133,139.96635,2023-11-15,2023-11-15
matsumae02_T23,matsumae02,2023-11-16 05:35:19,2023-11-16 12:23:19,6.800000000000001,1.4669444444444444,5.333055555555556,15.955134897988772,41.561233,139.969367,41.560783,139.969017,2023-11-16,2023-11-16
matsumae02_T26,matsumae02,2023-11-27 07:22:20,2023-11-27 14:23:20,7.0166666666666675,1.2666666666666668,5.750000000000001,15.294901445268142,41.5611,139.968833,41.5625,139.970517,2023-11-27,2023-11-27
matsumae02_T27,matsumae02,2023-12-02 07:01:19,2023-12-02 11:40:19,4.65,1.0683333333333334,3.5816666666666666,33.868683095769946,41.55285,139.96405,41.563333,139.971267,2023-12-02,2023-12-02
matsumae02_T28,matsumae02,2023-12-03 06:29:19,2023-12-03 11:53:20,5.400277777777778,1.166111111111111,4.234166666666667,43.63581936360418,41.54995,139.9641,41.5319,139.972733,2023-12-03,2023-12-03
matsumae02_T29,matsumae02,2023-12-04 06:17:19,2023-12-04 10:28:19,4.183333333333334,0.5494444444444445,3.633888888888889,36.706862258439855,41.54815,139.9639,41.5401,139.967417,2023-12-04,2023-12-04
matsumae02_T35,matsumae02,2023-12-24 07:58:20,2023-12-24 10:04:20,2.1,0.8833333333333333,1.2166666666666668,13.243785671844444,41.558017,139.966533,41.5494,139.963617,2023-12-24,2023-12-24
matsumae02_T9,matsumae02,2023-08-19 01:15:19,2023-08-19 07:17:19,6.033333333333333,3.0005555555555556,3.032777777777778,39.74851059097618,41.542433,139.96545,41.528967,139.974817,2023-08-19,2023-08-19
matsumae03_T1,matsumae03,2023-07-08 00:39:14,2023-07-08 05:57:14,5.3,2.9677777777777776,2.332222222222222,37.76327812636217,41.484667,139.993383,41.477733,139.996867,2023-07-08,2023-07-08
matsumae03_T10,matsumae03,2023-09-23 02:24:15,2023-09-23 09:42:14,7.299722222222222,4.733888888888889,2.5658333333333334,40.3277510971641,41.484167,139.993783,41.48955,139.990333,2023-09-23,2023-09-23
matsumae03_T11,matsumae03,2023-09-25 05:04:14,2023-09-25 08:04:14,3.0,1.4825,1.5175,21.614826722313953,41.499633,139.82515,41.50035,139.9919,2023-09-25,2023-09-25
matsumae03_T2,matsumae03,2023-07-10 01:13:15,2023-07-10 09:50:14,8.616388888888888,5.783333333333333,2.8330555555555557,46.92295057978779,41.480367,139.996517,41.40805,140.071967,2023-07-10,2023-07-10
matsumae03_T5,matsumae03,2023-08-09 01:32:14,2023-08-09 08:48:14,7.266666666666667,4.917777777777778,2.348888888888889,38.23809934106111,41.481967,139.994517,41.47305,140.000667,2023-08-09,2023-08-09
