取引日,取引先,売上数量,品名,売上税込金額
20221227,若潮丸,940,Ａ重油,110638
20221227,勝進丸,800,Ａ重油,94160
20230106,漁栄丸,125,Ａ重油,14300
20230112,竜宝丸,600,Ａ重油,68640
20230114,北慎丸,188,Ａ重油,21507
20230119,常宝丸,1204,Ａ重油,139724
20230204,勝宝丸,1774,Ａ重油,198067
20230206,北慎丸,88,Ａ重油,9825
20230206,勝進丸,1465,Ａ重油,163568
20230207,寶徳丸,1000,Ａ重油,111650
20230207,若潮丸,1000,Ａ重油,111650
20230210,晃新丸,200,Ａ重油,22330
20230210,泰樹丸,150,Ａ重油,16748
20230213,昇宝丸,400,Ａ重油,44660
20230213,竜宝丸,547,Ａ重油,61073
20230217,常宝丸,990,Ａ重油,111078
20230222,漁栄丸,614,Ａ重油,68891
20230224,漁宝丸,511,Ａ重油,57334
20230224,隆吉丸,180,Ａ重油,20196
20230303,晃新丸,301,Ａ重油,33772
20230304,辨天丸,587,Ａ重油,65861
20230311,北慎丸,344,Ａ重油,38597
20230324,かもめ丸,417,Ａ重油,47476
20230322,泰樹丸,220,Ａ重油,25047
20230322,北慎丸,354,Ａ重油,40303
20230327,甚栄丸,1011,Ａ重油,115103
20230328,開運丸,1200,Ａ重油,136620
20230328,竜宝丸,690,Ａ重油,78557
20230328,若潮丸,1000,Ａ重油,113850
20230331,昇宝丸,800,Ａ重油,91080
20230331,隆吉丸,350,Ａ重油,39848
20230403,泰樹丸,650,Ａ重油,76148
20230510,北慎丸,268,Ａ重油,30807
20230510,漁宝丸,200,Ａ重油,22990
20230519,常宝丸,800,Ａ重油,91080
20230523,甚栄丸,351,Ａ重油,39962
20230530,漁栄丸,600,Ａ重油,68310
20230602,寶徳丸,601,Ａ重油,69747
20230607,宝漁丸,800,Ａ重油,92840
20230614,栄進丸,1862,Ａ重油,216085
20230616,甚栄丸,553,Ａ重油,65393
20230616,勝進丸,804,Ａ重油,95073
20230630,晃新丸,427,Ａ重油,50493
20230704,隆吉丸,256,Ａ重油,31117
20230710,かもめ丸,409,Ａ重油,49715
20230710,甚栄丸,815,Ａ重油,99064
20230717,北慎丸,316,Ａ重油,38584
20230719,甚栄丸,583,Ａ重油,71184
20230719,漁宝丸,300,Ａ重油,36630
20230724,寶徳丸,1000,Ａ重油,122100
20230728,若潮丸,1001,Ａ重油,122222
20230807,かもめ丸,391,Ａ重油,49892
20230801,昇宝丸,586,Ａ重油,74774
20230801,竜宝丸,814,Ａ重油,103866
20230804,北慎丸,262,Ａ重油,33431
20230808,漁栄丸,386,Ａ重油,49254
20230818,晃新丸,199,Ａ重油,25721
20230819,隆吉丸,306,Ａ重油,39551
