海域,操業番号,緯度,経度
海峡口,82,41.35,139.13333333333333
海峡口,83,41.35,139.819444
海峡口,84,41.35,139.825
海峡口,85,41.35,139.833333
海峡口,86,41.35,139.852778
海峡口,87,41.35,139.858333
海峡口,88,41.35,139.866667
海峡口,89,41.35,139.886111
海峡口,90,41.35,139.891667
海峡口,91,41.35,139.891667
海峡口,92,41.35,139.15
海峡口,93,41.35,139.919444
海峡口,94,41.35,139.925
海峡口,95,41.35,139.933333
海峡口,96,41.35,139.952778
海峡口,97,41.35,139.958333
海峡口,98,41.35,139.966667
海峡口,99,41.35,139.986111
海峡口,100,41.35,139.991667
海峡口,101,41.35,140.0
海峡口,102,41.35,140.019444
海峡口,103,41.35,140.025
海峡口,104,41.35,140.033333
海峡口,105,41.35,140.052778
海峡口,106,41.35,140.058333
海峡口,107,41.35,140.066667
海峡口,108,41.35,140.086111
海峡口,109,41.35,140.091667
海峡口,110,41.35,140.01666666666668
海峡口,111,41.35,140.119444
海峡口,112,41.35,140.125
海峡口,113,41.35,140.133333
海峡口,114,41.35,140.152778
海峡口,115,41.35,40.158333
海峡口,116,41.35,140.166667
海峡口,117,41.35,140.186111
海峡口,118,41.35,140.191667
小島沖東打ち,50,41.3,139.75
小島沖東打ち,51,41.29722222222222,139.75
小島沖東打ち,52,41.28333333333333,139.75
小島沖東打ち,53,41.28055555555555,139.75
小島沖東打ち,54,41.266666666666666,139.75
小島沖東打ち,55,41.263888888888886,139.75
小島沖東打ち,56,41.25,139.75
小島沖東打ち,57,41.24722222222222,139.75
小島沖東打ち,58,41.233333333333334,139.75
小島沖東打ち,59,41.230555555555554,139.75
海峡口,60,41.35,139.55833333333334
海峡口,61,41.35,139.56666666666666
海峡口,62,41.35,139.5861111111111
海峡口,63,41.35,139.59166666666667
海峡口,64,41.35,139.6
海峡口,65,41.35,139.61944444444444
海峡口,66,41.35,139.625
海峡口,67,41.35,139.63333333333333
海峡口,68,41.35,139.65277777777777
海峡口,69,41.35,139.65833333333333
海峡口,70,41.35,139.66666666666666
海峡口,71,41.35,139.6861111111111
海峡口,72,41.35,139.69166666666666
海峡口,73,41.35,139.7
海峡口,74,41.35,139.71944444444443
海峡口,75,41.35,139.725
海峡口,76,41.35,139.73333333333332
海峡口,77,41.35,139.75277777777777
海峡口,78,41.35,139.75833333333333
海峡口,79,41.35,139.76666666666668
海峡口,80,41.35,139.7861111111111
海峡口,81,41.35,139.79166666666666
江良海区,1,41.61666666666667,139.93333333333334
江良海区,2,41.61388888888889,139.93333333333334
江良海区,3,41.6,139.93333333333334
江良海区,4,41.59722222222222,139.93333333333334
江良海区,5,41.583333333333336,139.93333333333334
江良海区,6,41.580555555555556,139.93333333333334
江良海区,7,41.56666666666667,139.93333333333334
江良海区,8,41.56388888888888,139.93333333333334
江良海区,9,41.55,139.93333333333334
江良海区,10,41.54722222222222,139.93333333333334
江良海区,11,41.53333333333333,139.93333333333334
江良海区,12,41.53055555555555,139.93333333333334
江良海区,13,41.516666666666666,139.93333333333334
江良海区,14,41.513888888888886,139.93333333333334
江良海区,15,41.5,139.93333333333334
江良海区,16,41.49722222222222,139.93333333333334
江良海区,17,41.483333333333334,139.93333333333334
江良海区,18,41.480555555555554,139.93333333333334
江良海区,19,41.46666666666667,139.93333333333334
江良海区,20,41.46388888888889,139.93333333333334
江良海区,21,41.45,139.93333333333334
江良海区,22,41.447222222222216,139.93333333333334
江良海区,23,41.43333333333333,139.93333333333334
江良海区,24,41.43055555555555,139.93333333333334
江良海区,25,41.416666666666664,139.93333333333334
江良海区,26,41.413888888888884,139.93333333333334
江良海区,27,41.4,139.93333333333334
江良海区,28,41.39722222222222,139.93333333333334
江良海区,29,41.38333333333333,139.93333333333334
江良海区,30,41.38055555555555,139.93333333333334
